127.0.0.1 - - [28/May/2021:13:34:35 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2021:13:34:36 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [28/May/2021:13:34:51 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [28/May/2021:13:38:25 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [28/May/2021:13:38:25 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/May/2021:13:39:10 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [28/May/2021:13:41:39 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [28/May/2021:13:41:50 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [28/May/2021:13:42:21 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [28/May/2021:13:42:54 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [28/May/2021:13:43:15 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [28/May/2021:13:44:59 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [28/May/2021:13:46:05 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [28/May/2021:13:47:42 +0700] "GET /ex8/thankyou.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [28/May/2021:14:03:50 +0700] "GET /ex8/NewFile.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [28/May/2021:14:04:59 +0700] "POST /ex8/process.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [28/May/2021:14:06:16 +0700] "GET /ex8/NewFile.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [28/May/2021:14:06:35 +0700] "POST /ex8/db.jsp HTTP/1.1" 500 2776
0:0:0:0:0:0:0:1 - - [28/May/2021:16:20:53 +0700] "GET /ex8/NewFile.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [28/May/2021:16:21:09 +0700] "POST /ex8/db.jsp HTTP/1.1" 500 2776
0:0:0:0:0:0:0:1 - - [28/May/2021:16:24:02 +0700] "GET /ex8/index.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [28/May/2021:16:24:21 +0700] "POST /ex8/process.jsp HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [28/May/2021:16:25:58 +0700] "GET /ex8/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:16:26:13 +0700] "POST /ex8/process.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [28/May/2021:16:29:55 +0700] "GET /ex8/test.jsp HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [28/May/2021:16:30:08 +0700] "POST /ex8/index.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [28/May/2021:16:43:47 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [28/May/2021:16:43:55 +0700] "POST /ex8/thankyou.jsp HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [28/May/2021:16:52:09 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [28/May/2021:16:52:16 +0700] "POST /ex8/thankyou.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [28/May/2021:16:52:45 +0700] "GET /ex8/feedback.jsp HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [28/May/2021:16:52:52 +0700] "POST /ex8/thankyou.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [28/May/2021:16:52:55 +0700] "POST /ex8/thankyou.jsp HTTP/1.1" 200 165
